order_id,order_date,region,store_id,salesperson_id,product_category,product_name,sales_channel,customer_segment,customer_age,units_sold,unit_price,discount_pct,revenue,cost,profit,profit_margin_pct,marketing_spend,satisfaction_score,payment_method
ORD-2023-00001,2023-06-23,West,ST-22,SP-38,Clothing,Running Shoes,Partner,Enterprise,53,13,83.82,16.7,746.15,299.5,446.65,59.86,59.39,7.2,Credit Card
ORD-2024-00002,2024-02-28,South,ST-10,SP-34,Clothing,Sports Hoodie,Partner,Enterprise,68,44,111.33,13.8,3472.22,1693.07,1779.15,51.24,313.93,6.3,Credit Card
ORD-2023-00003,2023-08-25,South,ST-10,SP-01,Sports & Outdoors,Foam Roller,Online,Consumer,33,2,149.11,17.0,259.13,111.62,147.51,56.93,22.46,7.3,Debit Card
ORD-2022-00004,2022-11-27,East,ST-17,SP-01,Food & Beverage,Energy Drink Case,Online,Consumer,41,4,13.54,17.2,54.4,24.05,30.35,55.79,3.27,7.5,Credit Card
ORD-2024-00005,2024-09-22,West,ST-25,SP-35,Home & Garden,Air Purifier,In-Store,Consumer,32,7,97.51,20.8,580.24,329.11,251.13,43.28,26.76,7.3,Credit Card
ORD-2024-00006,2024-03-28,West,ST-24,SP-24,Food & Beverage,Gourmet Nuts Bundle,In-Store,SMB,26,20,27.14,5.4,619.61,206.35,413.26,66.7,18.4,5.7,Credit Card
ORD-2022-00007,2022-05-01,South,ST-07,SP-22,Electronics,Tablet HD,Online,Consumer,56,8,758.83,5.5,3935.75,2481.12,1454.63,36.96,297.3,8.9,Credit Card
ORD-2023-00008,2023-12-27,South,ST-10,SP-47,Electronics,Wireless Headphones,Online,Consumer,28,4,286.18,9.8,1373.24,788.01,585.23,42.62,89.0,8.6,Credit Card
ORD-2024-00009,2024-08-05,South,ST-07,SP-29,Home & Garden,Throw Pillow Set,Online,Consumer,56,2,130.7,18.9,283.56,156.74,126.82,44.72,18.14,7.1,Cash
ORD-2024-00010,2024-04-01,West,ST-20,SP-25,Electronics,Gaming Mouse,Online,Consumer,51,8,261.24,4.4,2910.58,1747.63,1162.95,39.96,298.33,7.5,Credit Card
ORD-2022-00011,2022-05-05,West,ST-19,SP-04,Food & Beverage,Gourmet Nuts Bundle,Partner,Consumer,25,2,27.14,16.4,48.93,15.18,33.75,68.98,3.62,8.6,Bank Transfer
ORD-2023-00012,2023-05-20,East,ST-13,SP-40,Electronics,Bluetooth Speaker,Partner,SMB,67,11,545.94,7.6,4880.78,3241.75,1639.03,33.58,429.51,6.6,Credit Card
ORD-2023-00013,2023-10-10,West,ST-19,SP-01,Food & Beverage,Gourmet Nuts Bundle,Partner,Enterprise,35,18,27.14,19.2,471.7,203.84,267.86,56.79,57.9,7.5,Debit Card
ORD-2023-00014,2023-09-12,East,ST-18,SP-34,Electronics,4K Monitor,Partner,Enterprise,30,16,571.22,13.7,7928.65,4570.28,3358.37,42.36,689.04,8.3,Credit Card
ORD-2023-00015,2023-03-08,East,ST-14,SP-44,Home & Garden,Coffee Maker,In-Store,SMB,25,16,331.73,15.8,5310.97,2166.53,3144.44,59.21,191.22,10.0,Credit Card
ORD-2022-00016,2022-11-27,West,ST-23,SP-46,Food & Beverage,Organic Coffee Box,Online,Consumer,66,1,52.46,15.9,57.31,22.2,35.11,61.26,3.62,10.0,Bank Transfer
ORD-2022-00017,2022-09-19,North,ST-03,SP-03,Sports & Outdoors,Resistance Bands Set,In-Store,Consumer,44,7,230.35,21.4,1203.49,610.66,592.83,49.26,60.44,8.1,Cash
ORD-2022-00018,2022-12-29,West,ST-19,SP-12,Home & Garden,Coffee Maker,Phone,SMB,64,10,331.73,5.9,4345.09,2353.85,1991.24,45.83,199.4,8.1,Bank Transfer
ORD-2022-00019,2022-03-21,West,ST-20,SP-13,Home & Garden,LED Desk Lamp,Online,Consumer,36,4,310.44,7.7,1219.74,549.06,670.68,54.99,72.37,7.7,Credit Card
ORD-2024-00020,2024-11-09,South,ST-11,SP-22,Sports & Outdoors,Yoga Mat Pro,Partner,SMB,59,11,111.0,2.2,1045.19,503.17,542.02,51.86,94.84,6.2,Bank Transfer
ORD-2023-00021,2023-10-05,South,ST-11,SP-08,Clothing,Sports Hoodie,Online,Enterprise,49,44,111.33,12.5,4857.87,2485.47,2372.4,48.84,443.9,8.1,Credit Card
ORD-2023-00022,2023-11-08,East,ST-18,SP-08,Home & Garden,Coffee Maker,In-Store,Consumer,42,5,331.73,10.1,1887.78,820.3,1067.48,56.55,82.98,8.8,Credit Card
ORD-2024-00023,2024-02-16,East,ST-14,SP-40,Food & Beverage,Energy Drink Case,In-Store,Enterprise,40,47,13.54,11.0,524.52,182.71,341.81,65.17,20.25,7.0,Credit Card
ORD-2022-00024,2022-12-14,East,ST-15,SP-33,Home & Garden,Throw Pillow Set,Online,Consumer,37,4,130.7,15.2,331.27,141.29,189.98,57.35,19.29,6.5,Debit Card
ORD-2024-00025,2024-08-31,East,ST-13,SP-30,Clothing,Formal Blazer,In-Store,Consumer,46,4,131.12,4.3,525.64,250.35,275.29,52.37,25.98,9.0,Debit Card
