date,region,product,units_sold,unit_price,unit_cost,revenue,profit
2022-01-01,North,Widget A,377,31.13,19.38,11736.01,4429.75
2022-01-02,South,Widget B,175,42.32,26.28,7406.0,2807.0
2022-01-04,East,Widget C,396,94.07,53.02,37251.72,16255.8
2022-01-06,West,Widget D,352,62.19,25.43,21890.88,12939.52
2022-01-08,North,Widget A,161,43.27,25.12,6966.47,2922.15
2022-01-10,South,Widget B,337,39.88,23.73,13439.56,5442.55
2022-01-11,East,Widget C,329,61.95,33.13,20381.55,9481.78
2022-01-13,West,Widget D,192,100.94,40.57,19380.48,11591.04
2022-01-15,North,Widget A,462,35.97,18.95,16618.14,7863.24
2022-01-17,South,Widget B,192,35.55,24.43,6825.6,2135.04
2022-01-19,East,Widget C,222,30.22,15.53,6708.84,3261.18
2022-01-20,West,Widget D,233,104.75,60.87,24406.75,10224.04
2022-01-22,North,Widget A,463,24.35,13.1,11274.05,5208.75
2022-01-24,South,Widget B,113,117.31,60.25,13256.03,6447.78
2022-01-26,East,Widget C,332,49.32,29.03,16374.24,6736.28
2022-01-28,West,Widget D,491,56.16,25.7,27574.56,14955.86
2022-01-29,North,Widget A,85,24.58,11.51,2089.3,1110.95
2022-01-31,South,Widget B,198,118.52,77.82,23466.96,8058.6
2022-02-02,East,Widget C,493,30.1,14.55,14839.3,7666.15
2022-02-04,West,Widget D,375,103.41,46.41,38778.75,21375.0
2022-02-06,North,Widget A,231,40.95,19.66,9459.45,4917.99
2022-02-07,South,Widget B,399,84.8,49.42,33835.2,14116.62
2022-02-09,East,Widget C,137,73.41,34.76,10057.17,5295.05
2022-02-11,West,Widget D,286,57.95,40.38,16573.7,5025.02
2022-02-13,North,Widget A,377,88.82,41.38,33485.14,17884.88
2022-02-15,South,Widget B,216,104.29,65.99,22526.64,8272.8
2022-02-16,East,Widget C,167,102.18,65.55,17064.06,6117.21
2022-02-18,West,Widget D,255,46.77,21.67,11926.35,6400.5
2022-02-20,North,Widget A,340,107.64,53.22,36597.6,18502.8
2022-02-22,South,Widget B,385,69.92,46.53,26919.2,9005.15
2022-02-24,East,Widget C,379,65.89,31.59,24972.31,12999.7
2022-02-25,West,Widget D,176,94.5,53.08,16632.0,7289.92
2022-02-27,North,Widget A,432,78.46,52.52,33894.72,11206.08
2022-03-01,South,Widget B,254,56.2,39.29,14274.8,4295.14
2022-03-03,East,Widget C,120,70.95,30.32,8514.0,4875.6
2022-03-05,West,Widget D,74,106.11,47.31,7852.14,4351.2
2022-03-06,North,Widget A,131,99.21,52.25,12996.51,6151.76
2022-03-08,South,Widget B,82,58.48,33.85,4795.36,2019.66
2022-03-10,East,Widget C,289,72.91,50.4,21070.99,6505.39
2022-03-12,West,Widget D,490,114.24,69.01,55977.6,22162.7
2022-03-14,North,Widget A,108,88.17,49.47,9522.36,4179.6
2022-03-15,South,Widget B,186,96.86,48.63,18015.96,8970.78
2022-03-17,East,Widget C,200,63.48,34.03,12696.0,5890.0
2022-03-19,West,Widget D,419,107.59,51.54,45080.21,23484.95
2022-03-21,North,Widget A,306,96.2,53.13,29437.2,13179.42
2022-03-23,South,Widget B,104,107.05,52.4,11133.2,5683.6
2022-03-24,East,Widget C,377,70.77,32.53,26680.29,14416.48
2022-03-26,West,Widget D,241,96.25,54.07,23196.25,10165.38
2022-03-28,North,Widget A,448,112.24,75.82,50283.52,16316.16
2022-03-30,South,Widget B,356,52.42,21.27,18661.52,11089.4
2022-04-01,East,Widget C,235,107.87,70.06,25349.45,8885.35
2022-04-02,West,Widget D,207,43.95,20.76,9097.65,4800.33
2022-04-04,North,Widget A,340,114.69,48.82,38994.6,22395.8
2022-04-06,South,Widget B,298,101.6,70.45,30276.8,9282.7
2022-04-08,East,Widget C,322,96.58,42.35,31098.76,17462.06
2022-04-10,West,Widget D,293,114.68,51.55,33601.24,18497.09
2022-04-11,North,Widget A,320,107.24,56.51,34316.8,16233.6
2022-04-13,South,Widget B,158,112.89,70.73,17836.62,6661.28
2022-04-15,East,Widget C,403,40.12,19.8,16168.36,8188.96
2022-04-17,West,Widget D,393,84.99,45.17,33401.07,15649.26
2022-04-19,North,Widget A,314,65.15,30.91,20457.1,10751.36
2022-04-20,South,Widget B,82,53.81,31.02,4412.42,1868.78
2022-04-22,East,Widget C,167,78.84,31.71,13166.28,7870.71
2022-04-24,West,Widget D,412,83.11,38.95,34241.32,18193.92
2022-04-26,North,Widget A,66,105.96,44.64,6993.36,4047.12
2022-04-28,South,Widget B,171,47.85,26.11,8182.35,3717.54
2022-04-29,East,Widget C,326,33.23,22.62,10832.98,3458.86
2022-05-01,West,Widget D,342,77.62,36.71,26546.04,13991.22
2022-05-03,North,Widget A,292,100.75,46.06,29419.0,15969.48
2022-05-05,South,Widget B,99,85.9,43.49,8504.1,4198.59
2022-05-07,East,Widget C,260,66.7,41.27,17342.0,6611.8
2022-05-08,West,Widget D,394,85.35,50.69,33627.9,13656.04
2022-05-10,North,Widget A,81,60.26,30.24,4881.06,2431.62
2022-05-12,South,Widget B,491,30.93,14.15,15186.63,8238.98
2022-05-14,East,Widget C,324,64.86,34.15,21014.64,9950.04
2022-05-16,West,Widget D,192,66.26,43.89,12721.92,4295.04
2022-05-17,North,Widget A,88,64.31,42.34,5659.28,1933.36
2022-05-19,South,Widget B,331,29.79,17.74,9860.49,3988.55
2022-05-21,East,Widget C,326,103.6,71.56,33773.6,10445.04
2022-05-23,West,Widget D,435,104.87,47.18,45618.45,25095.15
2022-05-25,North,Widget A,298,68.14,44.93,20305.72,6916.58
2022-05-26,South,Widget B,80,36.46,14.61,2916.8,1748.0
2022-05-28,East,Widget C,249,46.52,29.55,11583.48,4225.53
2022-05-30,West,Widget D,282,48.52,29.55,13682.64,5349.54
2022-06-01,North,Widget A,424,119.54,67.75,50684.96,21958.96
2022-06-03,South,Widget B,417,68.67,31.38,28635.39,15549.93
2022-06-04,East,Widget C,161,116.87,67.05,18816.07,8021.02
2022-06-06,West,Widget D,327,26.1,12.9,8534.7,4316.4
2022-06-08,North,Widget A,75,78.42,43.2,5881.5,2641.5
2022-06-10,South,Widget B,486,73.11,30.49,35531.46,20713.32
2022-06-12,East,Widget C,310,28.01,12.77,8683.1,4724.4
2022-06-13,West,Widget D,354,26.8,17.65,9487.2,3239.1
2022-06-15,North,Widget A,256,31.99,21.34,8189.44,2726.4
2022-06-17,South,Widget B,176,77.89,32.08,13708.64,8062.56
2022-06-19,East,Widget C,91,61.92,35.61,5634.72,2394.21
2022-06-21,West,Widget D,317,51.64,24.7,16369.88,8539.98
2022-06-22,North,Widget A,392,91.62,43.21,35915.04,18976.72
2022-06-24,South,Widget B,252,33.09,19.64,8338.68,3389.4
2022-06-26,East,Widget C,284,51.62,32.29,14660.08,5489.72
2022-06-28,West,Widget D,87,20.93,12.27,1820.91,753.42
2022-06-30,North,Widget A,338,119.61,50.47,40428.18,23369.32
2022-07-01,South,Widget B,159,70.59,31.04,11223.81,6288.45
2022-07-03,East,Widget C,228,108.09,71.75,24644.52,8285.52
2022-07-05,West,Widget D,239,48.5,25.78,11591.5,5430.08
2022-07-07,North,Widget A,328,90.35,52.72,29634.8,12342.64
2022-07-09,South,Widget B,463,85.4,34.36,39540.2,23631.52
2022-07-10,East,Widget C,468,75.46,51.28,35315.28,11316.24
2022-07-12,West,Widget D,103,113.89,50.14,11730.67,6566.25
2022-07-14,North,Widget A,109,108.97,67.86,11877.73,4480.99
2022-07-16,South,Widget B,129,47.23,27.46,6092.67,2550.33
2022-07-18,East,Widget C,417,54.29,32.91,22638.93,8915.46
2022-07-19,West,Widget D,486,46.4,25.36,22550.4,10225.44
2022-07-21,North,Widget A,483,25.08,14.8,12113.64,4965.24
2022-07-23,South,Widget B,474,47.67,19.12,22595.58,13532.7
2022-07-25,East,Widget C,444,33.08,22.96,14687.52,4493.28
2022-07-27,West,Widget D,132,94.12,53.23,12423.84,5397.48
2022-07-28,North,Widget A,268,76.09,32.99,20392.12,11550.8
2022-07-30,South,Widget B,403,110.39,62.22,44487.17,19412.51
2022-08-01,East,Widget C,477,56.92,32.2,27150.84,11791.44
2022-08-03,West,Widget D,270,32.74,16.12,8839.8,4487.4
2022-08-05,North,Widget A,457,117.22,48.29,53569.54,31501.01
2022-08-06,South,Widget B,233,41.01,19.47,9555.33,5018.82
2022-08-08,East,Widget C,102,55.37,31.45,5647.74,2439.84
2022-08-10,West,Widget D,497,60.64,35.55,30138.08,12469.73
2022-08-12,North,Widget A,129,112.58,53.03,14522.82,7681.95
2022-08-14,South,Widget B,133,117.62,75.66,15643.46,5580.68
2022-08-15,East,Widget C,261,22.48,13.96,5867.28,2223.72
2022-08-17,West,Widget D,220,98.24,51.43,21612.8,10298.2
2022-08-19,North,Widget A,392,106.41,68.45,41712.72,14880.32
2022-08-21,South,Widget B,186,35.92,21.92,6681.12,2604.0
2022-08-23,East,Widget C,245,107.22,70.51,26268.9,8993.95
2022-08-24,West,Widget D,163,39.96,26.99,6513.48,2114.11
2022-08-26,North,Widget A,229,50.52,32.26,11569.08,4181.54
2022-08-28,South,Widget B,166,42.29,25.29,7020.14,2822.0
2022-08-30,East,Widget C,254,52.83,34.83,13418.82,4572.0
2022-09-01,West,Widget D,445,47.91,28.38,21319.95,8690.85
2022-09-02,North,Widget A,254,87.95,57.44,22339.3,7749.54
2022-09-04,South,Widget B,219,113.92,49.51,24948.48,14105.79
2022-09-06,East,Widget C,183,37.86,26.08,6928.38,2155.74
2022-09-08,West,Widget D,185,23.83,13.8,4408.55,1855.55
2022-09-10,North,Widget A,226,92.85,45.88,20984.1,10615.22
2022-09-11,South,Widget B,360,118.42,51.48,42631.2,24098.4
2022-09-13,East,Widget C,345,39.01,16.12,13458.45,7897.05
2022-09-15,West,Widget D,273,20.17,13.67,5506.41,1774.5
2022-09-17,North,Widget A,325,88.69,60.49,28824.25,9165.0
2022-09-19,South,Widget B,427,87.06,44.34,37174.62,18241.44
2022-09-20,East,Widget C,85,114.89,77.69,9765.65,3162.0
2022-09-22,West,Widget D,369,51.39,33.63,18962.91,6553.44
2022-09-24,North,Widget A,418,110.0,60.74,45980.0,20590.68
2022-09-26,South,Widget B,391,60.84,31.68,23788.44,11401.56
2022-09-28,East,Widget C,201,75.44,34.52,15163.44,8224.92
2022-09-29,West,Widget D,390,114.04,68.79,44475.6,17647.5
2022-10-01,North,Widget A,139,81.55,39.98,11335.45,5778.23
2022-10-03,South,Widget B,330,103.37,50.77,34112.1,17358.0
2022-10-05,East,Widget C,157,62.99,36.16,9889.43,4212.31
2022-10-07,West,Widget D,385,52.22,27.81,20104.7,9397.85
2022-10-08,North,Widget A,395,41.37,22.42,16341.15,7485.25
2022-10-10,South,Widget B,457,93.6,55.94,42775.2,17210.62
2022-10-12,East,Widget C,195,71.55,42.21,13952.25,5721.3
2022-10-14,West,Widget D,221,29.34,20.12,6484.14,2037.62
2022-10-16,North,Widget A,170,87.28,40.79,14837.6,7903.3
2022-10-17,South,Widget B,151,34.74,14.38,5245.74,3074.36
2022-10-19,East,Widget C,293,81.13,51.16,23771.09,8781.21
2022-10-21,West,Widget D,283,61.44,36.18,17387.52,7148.58
2022-10-23,North,Widget A,149,91.83,47.31,13682.67,6633.48
2022-10-25,South,Widget B,254,44.4,26.5,11277.6,4546.6
2022-10-26,East,Widget C,52,109.27,71.91,5682.04,1942.72
2022-10-28,West,Widget D,104,97.84,45.56,10175.36,5437.12
2022-10-30,North,Widget A,461,115.8,64.31,53383.8,23736.89
2022-11-01,South,Widget B,75,75.74,51.14,5680.5,1845.0
2022-11-03,East,Widget C,112,65.65,42.04,7352.8,2644.32
2022-11-04,West,Widget D,391,73.11,41.5,28586.01,12359.51
2022-11-06,North,Widget A,212,115.0,76.75,24380.0,8109.0
2022-11-08,South,Widget B,363,101.5,67.76,36844.5,12247.62
2022-11-10,East,Widget C,268,103.06,58.16,27620.08,12033.2
