date,region,product,revenue,units_sold,cost,profit
2024-01-05,North,Widget A,12500,250,8000,4500
2024-01-12,South,Widget B,8300,166,5200,3100
2024-01-19,East,Widget A,15200,304,9500,5700
2024-01-26,West,Widget C,6800,136,4200,2600
2024-02-02,North,Widget B,11200,224,7100,4100
2024-02-09,South,Widget A,9400,188,6000,3400
2024-02-16,East,Widget C,7600,152,4800,2800
2024-02-23,West,Widget A,13100,262,8300,4800
2024-03-01,North,Widget A,16800,336,10500,6300
2024-03-08,South,Widget B,10200,204,6500,3700
2024-03-15,East,Widget A,18500,370,11500,7000
2024-03-22,West,Widget C,8900,178,5600,3300
2024-03-29,North,Widget B,12300,246,7800,4500
2024-04-05,South,Widget A,11800,236,7500,4300
2024-04-12,East,Widget B,9700,194,6200,3500
2024-04-19,West,Widget A,14200,284,9000,5200
2024-04-26,North,Widget C,7200,144,4500,2700
2024-05-03,South,Widget A,13600,272,8600,5000
2024-05-10,East,Widget B,10800,216,6900,3900
2024-05-17,West,Widget A,15900,318,10000,5900
2024-05-24,North,Widget C,6500,130,4100,2400
2024-05-31,South,Widget B,9100,182,5800,3300
2024-06-07,East,Widget A,17200,344,10800,6400
2024-06-14,West,Widget B,11500,230,7300,4200
2024-06-21,North,Widget A,19800,396,12400,7400
2024-06-28,South,Widget C,8100,162,5100,3000
2024-07-05,East,Widget A,20200,404,12700,7500
2024-07-12,West,Widget B,12100,242,7700,4400
2024-07-19,North,Widget C,7800,156,4900,2900
2024-07-26,South,Widget A,14500,290,9200,5300
2024-08-02,East,Widget B,10500,210,6700,3800
2024-08-09,West,Widget A,16300,326,10200,6100
2024-08-16,North,Widget A,21500,430,13400,8100
2024-08-23,South,Widget C,8700,174,5500,3200
2024-08-30,East,Widget B,11900,238,7600,4300
2024-09-06,West,Widget A,17800,356,11200,6600
2024-09-13,North,Widget B,13200,264,8400,4800
2024-09-20,South,Widget A,15100,302,9500,5600
2024-09-27,East,Widget C,9300,186,5900,3400
2024-10-04,West,Widget A,18600,372,11700,6900
2024-10-11,North,Widget B,12800,256,8100,4700
2024-10-18,South,Widget A,16400,328,10300,6100
2024-10-25,East,Widget C,9800,196,6200,3600
2024-11-01,West,Widget B,11100,222,7100,4000
2024-11-08,North,Widget A,22100,442,13800,8300
2024-11-15,South,Widget C,8400,168,5300,3100
2024-11-22,East,Widget A,19300,386,12100,7200
2024-11-29,West,Widget B,13800,276,8800,5000
2024-12-06,North,Widget A,23500,470,14700,8800
2024-12-13,South,Widget B,12500,250,7900,4600
2024-12-20,East,Widget A,21000,420,13100,7900
2024-12-27,West,Widget C,10200,204,6400,3800
