temperature,humidity,wind_speed,pressure,rainfall,solar_radiation
22.1,65,12.3,1013,0.0,520
24.5,70,8.7,1010,2.1,480
19.8,80,15.2,1008,8.5,320
17.3,85,20.1,1005,12.3,180
21.0,72,10.5,1012,0.5,510
23.8,68,9.2,1011,0.0,550
26.2,60,7.8,1015,0.0,610
28.5,55,6.4,1016,0.0,640
25.1,63,8.1,1014,0.0,590
20.4,78,14.6,1007,5.2,360
18.9,83,18.3,1006,9.8,240
16.5,88,22.0,1003,15.1,140
22.7,74,11.8,1011,1.2,490
24.0,69,9.5,1012,0.0,530
27.3,58,7.2,1015,0.0,620
29.1,52,5.9,1017,0.0,660
23.5,66,8.8,1013,0.0,560
21.8,76,13.1,1009,3.7,410
19.2,81,16.9,1007,7.6,290
17.8,86,19.7,1004,11.4,170
22.3,73,12.0,1011,0.8,500
25.6,62,8.0,1014,0.0,580
27.9,57,6.8,1016,0.0,635
24.8,67,9.0,1013,0.0,545
20.9,77,13.8,1009,4.1,390
